sesion_sugerida,autores,anio,titulo,revista,nivel,dominio,metodos_ml,interpretacion,doi,url,citas_openalex,resumen_es,por_que_es,confianza
1,Bertrand & Kamenica,2023,Coming Apart? Cultural Distances in the United States over Time,American Economic Journal: Applied Economics,TopField,cultura,"ensamble de elastic net, árbol de regresión y random forest con pesos OLS (Mullainathan y Spiess)",accuracy fuera de muestra; predictibilidad como cantidad de interés; variable importance; otro: evolución temporal (1965–2016) de la exactitud predictiva por dimensión cultural,10.1257/app.20210663,https://doi.org/10.1257/app.20210663,50,"Definen la distancia cultural entre grupos de EE. UU. (ingreso, educación, género, raza e ideología) como la capacidad de predecir fuera de muestra la pertenencia al grupo a partir del consumo de medios, el comportamiento de consumo, el uso del tiempo, las actitudes sociales y los nombres de recién nacidos. Usan un ensamble de elastic net, árbol de regresión y random forest combinados con pesos OLS y siguen la exactitud predictiva a lo largo de décadas para cada dimensión, mostrando además qué ítems (marcas, programas, actividades) son más predictivos; encuentran distancias culturales estables salvo la creciente divergencia ideológica en actitudes sociales.","Es el ejemplo más claro en economía de usar la exactitud fuera de muestra como cantidad de interés, en la línea de Kim y Zilinsky.",alta
2,"Nils Kok, Eija-Leena Koponen, Carmen Adriana Martínez-Barbosa",2017,Big Data in Real Estate? From Manual Appraisal to Automated Valuation,The Journal of Portfolio Management,TopField,inmobiliario comercial/AVM,modelo de valoración automatizada (AVM) basado en aprendizaje automático,otro: error absoluto del AVM (9%) frente a la precisión de los avalúos manuales; otro: valor de la información hiperlocal de localización,10.3905/jpm.2017.43.6.202,https://doi.org/10.3905/jpm.2017.43.6.202,149,"Desarrollan un modelo automatizado de valoración basado en aprendizaje automático para activos multifamiliares en EE. UU. (datos de Fannie Mae, GeoPhy y RCA) y lo comparan con los avalúos manuales tradicionales. El error absoluto del modelo automatizado es de 9%, comparable o mejor que la precisión documentada de los avalúos, con valores instantáneos y de bajo costo; destacan la importancia de la información hiperlocal sobre la localización del activo. La interpretación es sobre todo la comparación de errores y el papel de la localización.","Referencia de práctica profesional sobre AVM vs avalúo (revista de gestión de portafolio, no top-field), útil para motivar la evaluación del error de predicción; el algoritmo exacto no pudo verificarse.",media
2,"Michael Mayer, Steven C. Bourassa, Martin Hoesli, Donato Scognamiglio",2019,Estimation and updating methods for hedonic valuation,Journal of European Real Estate Research,TopField,vivienda/hedónicos,mínimos cuadrados; regresión robusta; efectos mixtos; random forest; gradient boosting; redes neuronales,"comparación ML vs hedónico/OLS; otro: errores de pronóstico a un trimestre (sesgo, RMSE, MAE, mediana del error absoluto) evaluados trimestre a trimestre; otro: volatilidad de las predicciones al actualizar el modelo (ventana móvil vs extendida)",10.1108/jerer-08-2018-0035,https://doi.org/10.1108/JERER-08-2018-0035,80,"Predicen precios de 123,090 casas unifamiliares vendidas en Suiza (2005–2017) con seis métodos (MCO, regresión robusta, efectos mixtos, random forest, gradient boosting y redes neuronales) y dos esquemas de actualización (ventana móvil y ventana extendida). Evalúan errores de predicción logarítmicos un trimestre adelante fuera de muestra (sesgo, RMSE, MAE y mediana del error absoluto) en cada trimestre de evaluación, y además la volatilidad de las valoraciones entre actualizaciones sucesivas. Gradient boosting es el más preciso y la regresión robusta la menos volátil, lo que revela un trade-off precisión–estabilidad; la elección de ventana tiene efectos modestos.","Ilustra la evaluación 'rodante' fuera de muestra y un criterio de interpretación poco usual (volatilidad de las valoraciones), relevante para AVM en la práctica; revista especializada, no top-field.",alta
2,"Lily Shen, Stephen L. Ross",2021,Information value of property description: A Machine learning approach,Journal of Urban Economics,TopField,vivienda/texto (hedónicos),procesamiento de lenguaje natural (embeddings de palabras reformulados como máxima verosimilitud); medida de unicidad textual de la propiedad,descomposición de varianza/R2; índices de precios; otro: canales de interpretación (calidad no observada vs poder de mercado),10.1016/j.jue.2020.103299,https://doi.org/10.1016/j.jue.2020.103299,52,Extraen información 'blanda' de las descripciones textuales de anuncios del MLS de Atlanta (2010–2017) con un algoritmo de NLP (embeddings de palabras reformulados como estimación por máxima verosimilitud) y construyen una medida de unicidad de cada propiedad. Evalúan la información añadida por el incremento del R² en modelos hedónicos (0.760→0.769; con unas 50 palabras clave 0.784→0.811) y de ventas repetidas: una desviación estándar de unicidad eleva el precio 15% (hedónico) y 10% (ventas repetidas). Muestran que ignorar esta calidad no observada sobreestima los índices de precios hedónicos entre 10% y 23% y desplaza el momento de estabilización tras la Gran Recesión.,Ejemplo en JUE de cómo un insumo de ML (texto) se evalúa por su aporte al R² y se traduce en interpretación económica e índices de precios.,alta
2,"Alexander N. Bogin, Jessica Shui",2020,Appraisal Accuracy and Automated Valuation Models in Rural Areas,The Journal of Real Estate Finance and Economics,TopField,vivienda/AVM,random forest; boosting; regresión hedónica; estimadores de contracción (shrinkage),R2 fuera de muestra; comparación ML vs hedónico/OLS; error por colas/cuantiles; otro: costo computacional vs precisión,10.1007/s11146-019-09712-0,https://doi.org/10.1007/s11146-019-09712-0,49,"Con el Uniform Appraisal Dataset de Fannie Mae y Freddie Mac (2012Q4–2016Q1) documentan que más del 25% de los avalúos rurales superan el precio de contrato en más de 5% y estiman AVM alternativos para propiedades rurales. Dividen la muestra 80/20 (336,216 observaciones de entrenamiento y 84,154 de prueba, 115 variables) y comparan R² y RMSE fuera de muestra: hedónico 0.680/0.319, random forest 0.722/0.297, boosting 0.676/0.321, además de estimadores de contracción. Interpretan el ajuste en las colas calculando R² separados para los cuartiles inferior y superior de la distribución de precios y discuten el costo computacional de cada método.",Ejemplo claro de comparación ML vs hedónico con R² fuera de muestra y análisis de error en las colas de la distribución de precios.,alta
2,"R. Kelley Pace, Darren K. Hayunga",2020,Examining the Information Content of Residuals from Hedonic and Spatial Models Using Trees and Forests,The Journal of Real Estate Finance and Economics,TopField,vivienda/hedónicos espaciales,CART; boosting; bagging / random forests; modelos espaciotemporales globales y locales (comparación),comparación ML vs hedónico/OLS; otro: árboles y bosques aplicados a los residuos de modelos hedónicos y espaciales para detectar información (no linealidades) omitida; otro: residuos fuera de muestra ('ex-sample') frente a métodos espaciotemporales globales y locales,10.1007/s11146-019-09724-w,https://doi.org/10.1007/s11146-019-09724-w,38,"Examinan si los residuos de modelos hedónicos y espaciales de precios de vivienda contienen información predictiva, aplicándoles árboles de regresión (CART), boosting y bagging, y comparan estos métodos con modelos espaciotemporales globales y locales que explotan la dependencia espacial y temporal de los datos inmobiliarios. La evaluación se basa en residuos fuera de muestra: el bagging funciona bien y supera a los métodos espaciotemporales globales, pero no a los locales. El ejercicio interpretativo es usar los árboles sobre los residuos como diagnóstico de no linealidades e interacciones omitidas por la especificación hedónica.","Muestra cómo usar ML como herramienta de diagnóstico de un modelo econométrico (información en los residuos), no solo como predictor.",media
2,"Marc K. Francke, Alex van de Minne",2024,Combining machine learning and econometrics: Application to commercial real estate prices,Real Estate Economics,TopField,inmobiliario comercial/índices,"red neuronal; modelo hedónico de efectos aleatorios (tendencia común, tendencias por tipo, valor de localización, efectos por propiedad); estimación iterativa conjunta (bayesiana)",comparación ML vs hedónico/OLS; índices de precios; otro: mapas de calor del valor de localización; otro: MAPE fuera de muestra con validación cruzada 10-fold y por subgrupo (propiedades con ventas repetidas),10.1111/1540-6229.12483,https://doi.org/10.1111/1540-6229.12483,14,"Predicen precios de 2,652 transacciones comerciales en Phoenix (2001–2021) combinando iterativamente un modelo de efectos aleatorios (tendencia común, tendencias por tipo de propiedad, valor de localización y efectos por propiedad) con una red neuronal para las características observadas. Con validación cruzada de 10 pliegues, el MAPE fuera de muestra es 14% para la red neuronal sola, 15% para el hedónico de efectos aleatorios y 11% para el modelo combinado (9% en propiedades con ventas repetidas en el entrenamiento), por debajo del error típico de los avalúos. Como interpretación, el componente econométrico entrega índices de precios y mapas de calor de localización que un ML puro no produce.","Muestra cómo repartir tareas entre ML (no linealidades) y econometría (índices, localización) y evaluar la combinación fuera de muestra.",alta
3,Tom Fawcett,2006,An introduction to ROC analysis,Pattern Recognition Letters,Methods,evaluación/validación,clasificadores binarios,ROC/PR; AUC; umbrales de clasificación,10.1016/j.patrec.2005.10.010,https://doi.org/10.1016/j.patrec.2005.10.010,21889,"Tutorial de referencia sobre curvas ROC: construcción, AUC, elección de umbral con costos asimétricos y comparación de clasificadores; muestra que la ROC es invariante a la distribución de clases. Saito & Rehmsmeier (2015, PLOS ONE) complementan que, con clases muy desbalanceadas (impago, fraude, informalidad), la curva precisión-recall es más informativa que la ROC. Ambas son la base para evaluar clasificadores de scoring en economía aplicada.","Lectura base de la sesión de evaluación de clasificadores: ROC/AUC y, con desbalance, curva PR.",alta
3,"Obermeyer, Powers, Vogeli & Mullainathan",2019,Dissecting racial bias in an algorithm used to manage the health of populations,Science,GeneralScience,salud,algoritmo comercial de predicción de costos (caja negra) auditado; reentrenamiento con etiquetas alternativas (salud en vez de costo),calibración; otro: calibración por raza; elección de la etiqueta (costo vs. salud) y simulación de reetiquetado,10.1126/science.aax2342,https://doi.org/10.1126/science.aax2342,6894,"Auditan un algoritmo comercial de riesgo, usado por sistemas de salud de EE. UU. para asignar programas de manejo de pacientes, que predice costos futuros como proxy de necesidades de salud. Comparan la calibración por raza: a un mismo score de riesgo, los pacientes negros tienen más enfermedades crónicas y peores indicadores clínicos que los blancos, y muestran que reetiquetar el objetivo (salud en vez de costo) elevaría la proporción de pacientes negros seleccionados para ayuda adicional de 17,7% a 46,5%, atribuyendo el sesgo a la elección de la variable a predecir pese a su aparente buena precisión.",Enseña que la calibración por grupos y la elección de la etiqueta son ejercicios de interpretación tan importantes como la exactitud global.,alta
3,Alexandru Niculescu-Mizil; Rich Caruana,2005,Predicting good probabilities with supervised learning,ICML,Methods,evaluación/validación,boosting; random forest; bagging; SVM; regresión logística; redes neuronales,calibración; Platt scaling; regresión isotónica; reliability diagrams,10.1145/1102351.1102430,https://doi.org/10.1145/1102351.1102430,1758,"Compara la calidad de las probabilidades que producen diez algoritmos y muestra que boosting y SVM las distorsionan sistemáticamente (hacia 0.5), mientras que bagging, random forests y redes están mejor calibrados; propone corregirlas con Platt scaling o regresión isotónica. Guo et al. (2017, ICML, 'On Calibration of Modern Neural Networks') actualizan el diagnóstico para redes profundas con temperature scaling. Para el economista es clave cuando la probabilidad predicha se usa como insumo (precio del riesgo, focalización) y no solo el ranking.",Referencia de calibración en la sesión de evaluación: por qué un buen AUC no garantiza buenas probabilidades.,alta
3,"Kleinberg, Lakkaraju, Leskovec, Ludwig & Mullainathan",2018,Human Decisions and Machine Predictions,The Quarterly Journal of Economics,Top5,justicia penal,gradient boosting (árboles),AUC/ROC; error por colas/cuantiles; predicho vs observado; comparación con humanos/expertos; otro: problema de etiquetas selectivas (contracción con jueces lenientes) y simulaciones de política,10.1093/qje/qjx032,https://doi.org/10.1093/qje/qjx032,808,"Predicen la falta de comparecencia (y re-arresto) de acusados en Nueva York 2008–2013 (758 mil casos) con gradient boosted trees usando el cargo actual, los antecedentes y la edad; parten la muestra en 40% entrenamiento, 40% imputación y 20% prueba, y reportan un AUC de 0,707 en la muestra de prueba. La interpretación gira en torno a percentiles de riesgo predicho: el 1% más riesgoso tiene 62,6% de riesgo predicho pero los jueces lo liberan en 48,5% de los casos, y su tasa de delito observada es 56,3%, lo que muestra dónde se concentran los errores humanos. Resuelven el problema de etiquetas selectivas con la asignación cuasi-aleatoria de jueces y una estrategia de contracción, y simulan políticas: −24,7% de delitos con igual encarcelamiento o −41,9% de encarcelamiento sin aumentar el delito.",Es el modelo canónico de cómo evaluar un predictor fuera de muestra y compararlo con decisores humanos cuando los resultados solo se observan para los tratados.,alta
3,"Fuster, Goldsmith-Pinkham, Ramadorai & Walther",2022,Predictably Unequal? The Effects of Machine Learning on Credit Markets,Journal of Finance,TopFinance,crédito/hogares,regresión logística; logit no lineal; random forest; XGBoost,AUC/ROC; calibración; otro: precisión y Brier score; comparación de familias de modelos; heterogeneidad/efectos distributivos; otro: distribución completa de probabilidades predichas por grupo racial/étnico y contrafactual de equilibrio (quién gana y quién pierde),10.1111/jofi.13090,https://doi.org/10.1111/jofi.13090,510,"Predice el impago de hipotecas de EE. UU. (datos HMDA enlazados con el desempeño de millones de préstamos originados en 2009–2013) con logit, logit no lineal, random forest y XGBoost. Evalúa fuera de muestra con AUC/ROC, precisión, Brier score y curvas de calibración por modelo. Interpreta comparando la distribución completa de probabilidades predichas entre grupos (blancos y asiáticos vs. negros e hispanos), mostrando que la tecnología más flexible dispersa más las predicciones de las minorías, e incrusta las predicciones en un modelo de equilibrio para calcular quién gana y quién pierde en acceso y tasas.",Es el ejemplo de referencia de que un mejor AUC no implica ganancias uniformes: hay que mirar toda la distribución de predicciones por grupo.,alta
3,"Bao, Ke, Li, Yu & Zhang",2020,Detecting Accounting Fraud in Publicly Traded U.S. Firms Using a Machine Learning Approach,Journal of Accounting Research,TopField,contabilidad/fraude,ensamble RUSBoost (boosting con submuestreo); regresión logística (benchmark de Dechow et al.); SVM (benchmark de Cecchini et al.),AUC/ROC; otro: NDCG@k (precisión en el tope del ranking de probabilidad de fraude); comparación de familias de modelos; otro: validación con ventanas temporales que respetan el rezago de detección del fraude,10.1111/1475-679x.12292,https://doi.org/10.1111/1475-679X.12292,491,"Predice fraudes contables (AAER de la SEC) en firmas de EE. UU. usando 28 rubros contables crudos con un ensamble RUSBoost, frente al logit de Dechow et al. sobre razones financieras y al SVM de Cecchini et al. Evalúa fuera de muestra con ventanas temporales rodantes (respetando el rezago con que se descubren los fraudes) usando AUC y NDCG@k, una métrica de ranking que mide cuántos fraudes reales aparecen entre las firmas con mayor probabilidad predicha. La interpretación se centra en la comparación entre modelos y en el valor de combinar teoría contable (elección de insumos) con métodos de ensamble.",Enseña a elegir métricas de evaluación acordes al uso (ranking de casos sospechosos) y a diseñar la validación temporal en eventos raros.,alta
3,"Aiken, Bellue, Karlan, Udry & Blumenstock",2022,Machine learning and phone data can improve targeting of humanitarian aid,Nature,GeneralScience,focalización/pobreza,gradient boosting (LightGBM) sobre rasgos de registros de llamadas; CNN sobre imágenes satelitales para riqueza de aldeas,errores de inclusión/exclusión; AUC/ROC; comparación con humanos/reglas existentes; variable importance; otro: bienestar social (utilidad CRRA) y equidad entre grupos; degradación temporal de la precisión,10.1038/s41586-022-04484-9,https://doi.org/10.1038/s41586-022-04484-9,190,"Entrenan con encuestas algoritmos de gradient boosting sobre miles de rasgos de registros de llamadas (y una CNN sobre imágenes satelitales) para predecir la pobreza de suscriptores móviles y priorizar las transferencias del programa Novissi en Togo durante la COVID-19. Evalúan fuera de muestra con AUC, precision/recall y errores de exclusión frente a contrafactuales de focalización (geográfica, por ocupación, PMT y un registro social hipotético): el enfoque de ML reduce los errores de exclusión 4–21% frente a la focalización geográfica, pero los aumenta 9–35% frente a un registro social completo. Reportan además la importancia de variables (Extended Data Table 3), el bienestar social bajo utilidad CRRA, medidas de equidad entre grupos y cuánto se degrada la precisión cuando el modelo se calibra con datos antiguos.","Muestra cómo comparar una regla de focalización basada en ML con las alternativas reales del gobierno usando errores de exclusión, bienestar y equidad, y no solo el AUC.",alta
3,"Einav, Finkelstein, Mullainathan & Obermeyer",2018,Predictive modeling of U.S. health care spending in late life,Science,GeneralScience,salud,"ensamble de random forest, gradient boosting y LASSO",AUC/ROC; calibración; error por colas/cuantiles; otro: gasto por bins de mortalidad predicha y descomposición de la concentración del gasto en fallecidos,10.1126/science.aar5045,https://doi.org/10.1126/science.aar5045,168,"Con reclamaciones de Medicare de una muestra aleatoria del 20% (5,6 millones de beneficiarios, un tercio reservado como muestra de prueba), predicen la mortalidad anual con un ensamble de random forest, gradient boosting y LASSO. Evalúan la discriminación (AUC) y la calibración de la mortalidad predicha frente a la observada por percentiles, y luego describen cómo se distribuye el gasto por bins de mortalidad predicha: menos del 5% del gasto corresponde a personas con mortalidad predicha superior al 50%, y descomponen qué parte de la concentración del gasto en fallecidos (30–50%) se explica simplemente por gastar más en los enfermos, mueran o no.",Ejemplo modelo de usar un predictor bien calibrado para reinterpretar un hecho económico (el gasto al final de la vida) en lugar de solo maximizar la precisión.,alta
3,"Dobbie, Liberman, Paravisini & Pathania",2021,Measuring Bias in Consumer Lending,The Review of Economic Studies,Top5,finanzas / crédito,"gradient boosting (árboles), al estilo de Kleinberg et al. 2018",comparación con humanos/expertos; predicho vs observado; ablación por grupos de variables; otro: validación cruzada 5-fold para el número de árboles; etiquetas selectivas resueltas con los examinadores más lenientes,10.1093/restud/rdaa078,https://doi.org/10.1093/restud/rdaa078,106,"Con datos administrativos de un prestamista de alto costo en el Reino Unido predicen el default de corto plazo y la rentabilidad de largo plazo de cada solicitante con un algoritmo de árboles con boosting (shrinkage 0,005, profundidad de interacción 4 y número de árboles elegido por validación cruzada de 5 pliegues) entrenado en una submuestra aleatoria de prestatarios, y usan la asignación cuasi-aleatoria de examinadores para identificar la rentabilidad de los solicitantes marginales. Grafican la rentabilidad observada frente a la predicha en la muestra de prueba, comparan la regla del algoritmo con y sin nacionalidad, género y edad, y muestran que una regla basada en las predicciones ML de rentabilidad de largo plazo aumenta beneficios y elimina el sesgo contra inmigrantes y mayores.",Aplica la lógica de Kleinberg et al. al crédito: predicción validada fuera de muestra como contrafactual de las decisiones humanas y como test de sesgo.,alta
3,"Martin Huber, David Imhof",2019,Machine learning with screens for detecting bid-rigging cartels,International Journal of Industrial Organization,TopField,organización industrial/colusión,LASSO; métodos de ensamble; screens estadísticos de la distribución de ofertas,otro: tasa de clasificación correcta fuera de muestra (cerca de 84%); otro: matriz de confusión y trade-off entre falsos positivos y falsos negativos al mover el umbral,10.1016/j.ijindorg.2019.04.002,https://doi.org/10.1016/j.ijindorg.2019.04.002,105,"Predicen si una licitación del sector de la construcción en Suiza fue colusiva o competitiva, combinando 'screens' estadísticos calculados a partir de la distribución de las ofertas con LASSO y métodos de ensamble. Evalúan el desempeño fuera de muestra: ambos métodos clasifican correctamente cerca del 84% de las licitaciones, con 14–17% de falsos negativos y 15–18% de falsos positivos según el método. La interpretación se concentra en el trade-off entre falsos positivos y negativos al mover el umbral de decisión (los falsos negativos crecen mucho más rápido al reducir los falsos positivos) y en sus implicaciones para las autoridades de competencia.",Aplicación de predicción con ML en organización industrial (detección de carteles) con una discusión cuidadosa de los errores de clasificación fuera de muestra.,alta
